Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,county_num,city_num,state_num,address_num
32210,225000.0,2,1,1092,6930 ALACHUA AVE,Jacksonville,Florida,66824,1178.7,Duval,81628.0,30.26491,-81.74746,20,63,7,6257
32218,205000.0,2,3,1172,10717 ACADEMY PARK DR,Jacksonville,Florida,68534,273.8,Duval,82140.0,30.48673,-81.66959,20,63,7,6382
32256,749990.0,4,3,2496,10101 FILAMENT BLVD,Jacksonville,Florida,48988,308.2,Duval,95821.0,30.1929,-81.50309,20,63,7,6778
32217,355000.0,3,2,1528,2609 CLEMSON RD,Jacksonville,Florida,20303,1458.3,Duval,98190.0,30.2394,-81.62722,20,63,7,6324
32258,290000.0,2,3,1437,12700 BARTRAM PARK BLVD APT 2111,Jacksonville,Florida,41004,888.5,Duval,117377.0,30.13874,-81.54941,20,63,7,6834
32257,240000.0,3,2,1568,4191 CUMBRIAN GARDENS LN,Jacksonville,Florida,41487,1307.4,Duval,106508.0,30.19515,-81.6123,20,63,7,6801
32277,375000.0,4,2,2251,3483 WENTWORTH CIR W,Jacksonville,Florida,33948,1831.0,Duval,68969.0,30.3728,-81.59465,20,63,7,6858
32218,425000.0,3,3,2484,1052 MORNING LIGHT RD,Jacksonville,Florida,68534,273.8,Duval,82140.0,30.48673,-81.66959,20,63,7,6385
32210,549900.0,4,2,1835,4241 LEXINGTON AVE,Jacksonville,Florida,66824,1178.7,Duval,81628.0,30.26491,-81.74746,20,63,7,6251
32207,1350000.0,6,2,2508,2184 SCHUMACHER AVE,Jacksonville,Florida,36711,1238.9,Duval,91810.0,30.29,-81.64018,20,63,7,6109
32218,239900.0,3,2,1291,11326 ISLAND SHORE DR W,Jacksonville,Florida,68534,273.8,Duval,82140.0,30.48673,-81.66959,20,63,7,6362
32219,649900.0,4,4,2800,10111 BREAKAWAY CT,Jacksonville,Florida,14169,76.5,Duval,71236.0,30.41815,-81.81367,20,63,7,6436
32207,430000.0,2,2,1224,1222 PEACHTREE ST,Jacksonville,Florida,36711,1238.9,Duval,91810.0,30.29,-81.64018,20,63,7,6106
32244,335000.0,3,2,1570,7167 MAHOGANY RUN DR,Jacksonville,Florida,63709,1043.5,Duval,72650.0,30.2171,-81.75384,20,63,7,6653
32218,220000.0,3,3,1524,3211 ACADEMY PARK PL,Jacksonville,Florida,68534,273.8,Duval,82140.0,30.48673,-81.66959,20,63,7,6395
32204,359900.0,3,2,1547,2512 HERSCHEL ST,Jacksonville,Florida,7750,1114.0,Duval,80506.0,30.31636,-81.68095,20,63,7,6023
32207,2900000.0,4,4,4431,2024 RIVER RD,Jacksonville,Florida,36711,1238.9,Duval,91810.0,30.29,-81.64018,20,63,7,6107
32258,419900.0,3,2,1975,12632 SAND RIDGE DR,Jacksonville,Florida,41004,888.5,Duval,117377.0,30.13874,-81.54941,20,63,7,6830
32208,195000.0,4,2,1372,5043 ARROWSMITH RD,Jacksonville,Florida,32244,1080.0,Duval,54640.0,30.39351,-81.68245,20,63,7,6174
32211,340900.0,4,3,2489,7832 SUNNYMEADE DR N,Jacksonville,Florida,35668,1680.8,Duval,68022.0,30.33276,-81.58428,20,63,7,6286
32207,1100000.0,4,4,3394,5511 ATLANTIC BLVD,Jacksonville,Florida,36711,1238.9,Duval,91810.0,30.29,-81.64018,20,63,7,6130
32205,235000.0,3,1,1014,5360 REDRAC ST,Jacksonville,Florida,31398,1566.7,Duval,88245.0,30.30275,-81.72257,20,63,7,6065
32224,499000.0,3,3,2228,4257 RIPKEN CIR E,Jacksonville,Florida,41366,765.7,Duval,121879.0,30.26815,-81.4642,20,63,7,6551
32224,777050.0,4,4,2866,5327 PINEY FLATS RD,Jacksonville,Florida,41366,765.7,Duval,121879.0,30.26815,-81.4642,20,63,7,6561
32209,109999.0,2,1,708,1730 W 15TH ST,Jacksonville,Florida,35915,1489.9,Duval,42717.0,30.36141,-81.69573,20,63,7,6211
32206,95000.0,3,2,1828,46 W 23RD ST,Jacksonville,Florida,16406,1016.2,Duval,49264.0,30.35069,-81.63865,20,63,7,6077
32211,279000.0,3,2,1757,1336 BROOKMONT AVE E,Jacksonville,Florida,35668,1680.8,Duval,68022.0,30.33276,-81.58428,20,63,7,6285
32258,325000.0,3,3,1708,6854 ROUNDLEAF DR,Jacksonville,Florida,41004,888.5,Duval,117377.0,30.13874,-81.54941,20,63,7,6840
32222,368500.0,3,2,1604,3564 BAXTER ST,Jacksonville,Florida,14879,504.2,Duval,89939.0,30.21651,-81.8293,20,63,7,6502
32210,2695000.0,5,5,4653,4710 APACHE AVE,Jacksonville,Florida,66824,1178.7,Duval,81628.0,30.26491,-81.74746,20,63,7,6241
