Unnamed: 0,Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,price_label,county_num,city_num,state_num,address_num
18898,85750,985000.0,4,3,2924,6500 N SILVERSMITH PL,Tucson,Arizona,24440,519.3,Pima,151915.0,32.29952,-110.84288,7,54,74,23,18301
36245,85713,94000.0,1,1,750,1776 S PALO VERDE AVE APT C208,Tucson,Arizona,45904,743.7,Pima,62125.0,32.19525,-111.0151,0,54,74,23,35220
16629,85710,365000.0,4,2,2225,9452 E BARRUDEAN HILLS ST,Tucson,Arizona,52385,1691.1,Pima,69739.0,32.21439,-110.82365,2,54,74,23,16132
1653,85704,639000.0,3,2,2485,1230 W GIACONDA WAY,Tucson,Arizona,34597,733.8,Pima,105510.0,32.33885,-110.98483,5,54,74,23,1603
16840,85755,375000.0,3,2,1165,2359 E PRECIOUS SHARD CT,Tucson,Arizona,17352,198.0,Pima,146995.0,32.46836,-110.98152,2,54,74,23,16342
4288,85749,849000.0,4,3,2633,12425 E SUTTER MILL ST,Tucson,Arizona,18217,145.5,Pima,138545.0,32.28129,-110.72604,6,54,74,23,4122
32525,85756,420000.0,4,2,2198,9281 S WINTER WOOD RD,Tucson,Arizona,36163,149.1,Pima,81074.0,32.07034,-110.90625,3,54,74,23,31576
32365,85710,389900.0,4,2,2222,785 N EVELYN AVE,Tucson,Arizona,52385,1691.1,Pima,69739.0,32.21439,-110.82365,3,54,74,23,31418
26248,85746,200000.0,3,2,960,6361 S SPEAKS TRL,Tucson,Arizona,46452,154.8,Pima,76042.0,32.06964,-111.09047,1,54,74,23,25533
1696,85750,672000.0,4,3,2236,6005 E CENTER VILLAGE DR,Tucson,Arizona,24440,519.3,Pima,151915.0,32.29952,-110.84288,5,54,74,23,1646
26174,85710,210000.0,2,2,897,1093 N PRESSYC PL,Tucson,Arizona,52385,1691.1,Pima,69739.0,32.21439,-110.82365,1,54,74,23,25459
27103,85737,1150000.0,3,3,2655,420 E JOY MARIAH DR,Tucson,Arizona,22331,363.7,Pima,121177.0,32.41425,-110.94683,9,54,74,23,26331
16656,85711,329000.0,4,2,1851,5657 E 26TH ST,Tucson,Arizona,41369,1853.8,Pima,65587.0,32.21504,-110.88348,2,54,74,23,16159
16869,85757,325000.0,4,3,1861,5522 S LEMON TREE DR,Tucson,Arizona,20440,308.4,Pima,88065.0,32.12835,-111.12228,2,54,74,23,16371
7621,85749,565000.0,3,2,1882,5158 N FAIRWAY SPRING DR,Tucson,Arizona,18217,145.5,Pima,138545.0,32.28129,-110.72604,4,54,74,23,7348
16753,85737,340000.0,3,2,1340,1298 W SEEP WILLOW PL,Tucson,Arizona,22331,363.7,Pima,121177.0,32.41425,-110.94683,2,54,74,23,16255
32522,85756,459990.0,5,3,2685,6680 CAMINITO LA PISCINA,Tucson,Arizona,36163,149.1,Pima,81074.0,32.07034,-110.90625,3,54,74,23,31573
7551,85701,567000.0,2,2,1581,1102 S RUSSELL AVE,Tucson,Arizona,5283,1381.2,Pima,75478.0,32.21702,-110.97138,4,54,74,23,7278
7613,85748,555000.0,4,2,2371,1130 S PAPERFLOWER AVE,Tucson,Arizona,19858,641.0,Pima,116062.0,32.21904,-110.75205,4,54,74,23,7340
32430,85742,405000.0,3,2,1734,9142 N TREASURE MOUNTAIN DR,Tucson,Arizona,28938,501.1,Pima,119864.0,32.3898,-111.05113,3,54,74,23,31482
16841,85755,360000.0,2,2,1521,12097 N JARREN CANYON WAY,Tucson,Arizona,17352,198.0,Pima,146995.0,32.46836,-110.98152,2,54,74,23,16343
16708,85716,379500.0,3,2,1810,643 N RICHEY BLVD,Tucson,Arizona,31317,1679.6,Pima,66518.0,32.24222,-110.92351,2,54,74,23,16210
16856,85756,375000.0,3,3,2248,5219 E FAIRY DUSTER DR,Tucson,Arizona,36163,149.1,Pima,81074.0,32.07034,-110.90625,2,54,74,23,16358
32350,85704,397500.0,4,2,1600,5465 N BRAMBLE BROOK LN,Tucson,Arizona,34597,733.8,Pima,105510.0,32.33885,-110.98483,3,54,74,23,31403
16659,85711,332052.0,3,2,1500,1857 S POETRY LANE S,Tucson,Arizona,41369,1853.8,Pima,65587.0,32.21504,-110.88348,2,54,74,23,16162
